BID,Project,Product_Code,WBS,Status,Bug_hours,Created,Updated
129,02247,SPY  ,1.3.3.x.2.y.1,C,16,2016/09/01 20:38,2016/09/21 11:52
130,02247,SPY  ,1.3.3.x.3.y.1,C,5,2016/09/01 20:38,2016/09/20 19:21
131,02247,SPY  ,1.3.3.x.2.y.1,C,9,2016/09/01 20:38,2016/09/19 11:26
132,02247,SPY  ,1.3.3.x.2.y.1,C,10,2016/09/01 20:38,2016/09/21 11:50
133,02247,SPY  ,1.3.3.x.2.y.1,C,17,2016/09/01 20:38,2016/09/29 14:33
134,02247,SPY  ,1.3.3.x.2.y.1,C,21,2016/09/01 20:38,2016/09/23 20:13
135,02247,SPY  ,1.3.3.x.2.y.1,C,9,2016/09/01 20:38,2016/09/19 11:26
136,02247,SPY  ,1.3.3.x.2.y.1,C,2,2016/09/01 20:38,2016/09/15 17:46
137,02247,SPY  ,1.3.3.x.2.y.1,C,1,2016/09/01 20:38,2016/09/21 11:49
138,02471,SPY  ,1.3.3.x.2.y.1,C,4,2016/08/24 11:01,2016/08/31 20:55
139,02392,SPY  ,1.3.3.x.2.y.1,C,10,2016/08/23 22:56,2016/10/05 20:58
140,02392,SPY  ,1.3.3.x.2.y.1,C,8,2016/08/23 22:56,2016/10/05 20:57
141,02392,SPY  ,1.5.x.y.3,C,5,2016/08/23 22:55,2016/10/04 12:21
142,02392,SPY  ,1.3.3.x.3.y.1,C,1,2016/08/23 22:55,2016/10/05 11:40
143,02367,SPY  ,1.3.3.x.2.y.1,C,15,2016/08/23 22:55,2016/09/23 20:15
144,02392,SPY  ,1.3.3.x.2.y.1,C,5,2016/08/23 22:54,2016/09/07 10:56
145,02392,SPY  ,1.3.3.x.2.y.1,C,2,2016/08/23 22:54,2016/09/09 21:37
146,02392,SPY  ,1.3.3.x.2.y.1,C,5,2016/08/23 22:54,2016/09/07 11:15
147,02247,SPY  ,1.3.3.x.2.y.1,C,3,2016/08/23 22:54,2016/09/06 12:10
148,02247,SPY  ,1.3.3.x.2.y.1,C,3,2016/08/23 14:50,2016/09/23 20:16
149,02247,SPY  ,1.5.x.y.3,C,14,2016/08/23 11:22,2016/09/23 20:11
150,02471,SPY  ,1.3.3.x.3.y.1,C,9,2016/08/23 09:26,2016/09/07 11:31
151,02392,SPY  ,1.3.3.x.3.y.1,C,4,2016/08/18 15:21,2016/09/15 16:55
152,02471,SPY  ,1.3.3.x.2.y.1,C,21,2016/08/18 15:21,2016/10/03 10:41
153,02392,SPY  ,1.3.3.x.3.y.1,C,17,2016/08/18 15:18,2016/09/06 14:48
154,02367,SPY  ,1.3.3.x.2.y.1,C,8,2016/08/11 17:36,2016/08/31 17:27
155,02367,SPY  ,1.2.x.y.3.1,C,21,2016/08/11 17:34,2016/08/31 17:39
156,02367,SPY  ,1.3.3.x.2.y.1,C,12,2016/08/11 15:19,2016/08/31 17:27
157,02367,SPY  ,1.3.3.x.3.y.1,C,12,2016/08/11 15:16,2016/09/01 12:51
158,02471,SPY  ,1.3.3.x.3.y.1,C,15,2016/08/11 07:22,2016/09/20 15:53
159,02471,SPY  ,1.3.3.x.3.y.1,C,17,2016/08/10 18:41,2016/08/31 17:32
160,02392,SPY  ,1.3.3.x.2.y.1,C,8,2016/08/10 11:41,2016/09/13 13:05
161,02392,SPY  ,1.3.3.x.3.y.1,C,3,2016/08/10 11:40,2016/08/31 17:26
162,02471,SPY  ,1.3.3.x.2.y.1,C,4,2016/08/10 10:05,2016/09/14 20:21
163,02471,SPY  ,1.3.3.x.3.y.1,C,9,2016/08/10 09:59,2016/08/31 17:32
164,02247,SPY  ,1.5.x.y.3,C,22,2016/08/09 18:24,2016/09/07 11:27
165,02392,SPY  ,1.3.3.x.3.y.1,C,11,2016/08/09 12:13,2016/08/31 17:27
166,02471,SPY  ,1.3.3.x.3.y.1,C,14,2016/08/09 09:56,2016/09/06 14:31
167,02471,SPY  ,1.5.x.y.3,C,18,2016/08/03 13:01,2016/09/01 11:46
168,02367,SPY  ,1.3.3.x.2.y.1,C,1,2016/07/29 17:46,2016/08/31 17:32
169,02392,SPY  ,1.5.x.y.3,C,9,2016/07/27 14:52,2016/09/16 20:28
170,02247,SPY  ,1.3.3.x.3.y.1,C,17,2016/07/26 19:27,2016/09/14 18:40
171,02433,SPY  ,1.3.3.x.2.y.1,C,22,2016/07/21 20:03,2016/08/31 17:26
172,02471,SPY  ,1.3.3.x.3.y.1,C,12,2016/07/19 23:59,2016/08/31 17:32
